,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
baseline_v_min_mV,-0.06354026125330252,0.32203260014003804,0.0712065618126089,0.01522838218431264,0.07724479864858128,-0.01848134328339165,0.04055384119894167,-0.0856910374711795,-0.16167813216419244,-0.04892084940543675,0.0858869127837483,0.15470090284517632,-0.1323921656995005,-0.34397503754395575,-0.0753431106103187,-0.25364614529548984,0.2901812723120262,-0.06649212800387487,-0.27342940117956754,-0.009003277155756046,0.10888517731614006,0.046545710722864606,-0.32928702725460113,-0.03578253006328931,-0.0820072804229343,0.11249830752100959,0.38161105266296813,0.07555611493869797,0.3373476041002756,0.09495336270466512,-0.14364197646219398,-0.06288823357412626,-0.025079819705675615,-0.0009187752947482002,8.412279446496593e-17
silencing_threshold_nA,-0.2655225424573986,0.05891223541042779,-0.08530450359219707,-0.04260996877007254,0.010896764988971809,-0.11304690729631686,0.07095192183319633,0.13169435406099922,-0.1753066981057444,-0.12038131149548643,-0.05879479012282016,0.060756911284862776,0.14637537128543165,0.09219653970620073,-0.07571943535626653,0.13128361675157238,0.17238749761291236,0.02142447685735337,0.01595750502658071,-0.2342639843329893,-0.0005777802798370489,0.3504429190507436,0.1379670699690261,0.2964627246366183,0.0838342665442508,-0.2188140645330575,-0.049303403553632205,-0.04774082406731455,0.17384846180475313,-0.16802590862306468,-0.16368022712102617,0.0032656957606845604,0.06639980832617791,0.5586239268369306,-6.439055364796578e-16
any_bursting_before_silence,0.10523946709920887,0.17492552929385236,0.3364217346459792,-0.11489940204378121,-0.10250677103547906,-0.14386264530513776,0.25666249359200033,0.08650745268326691,-0.03533000802078658,-0.2995736843337485,0.19576080083514957,-0.08329763197468619,-0.1775758507930849,0.158819059619746,-0.3204191835980103,0.32576678699764433,-0.168273178916711,-0.14596339009078688,-0.024806695894659156,0.33544458918856285,-0.18524318084623817,0.21525521148219035,-0.15048646438705315,-0.013776390964775459,-0.15910360657926936,0.09878452316557768,-0.09447228895171529,-0.1110998103622672,0.033716279099875894,0.032466474292038514,0.025228617501246817,-0.009736190164727104,-0.0016197613566341174,0.008231651362070125,1.8902838289382444e-18
n_burst_transitions,0.08611176795475306,0.15796703601717055,0.3080099255202789,-0.17711595566907593,-0.07593092662958215,-0.3651863559482228,0.21294316732877824,-0.08527015242356392,0.04464570447063841,-0.3106637461405431,-0.1582531478639586,0.022057057060452866,-0.2550917994105764,-0.04193737787762286,0.1782406274855128,-0.1634596765984601,-0.15366484487136595,0.3168785322680167,0.1107415328669679,-0.16606610560314405,0.11539915363354611,-0.20395327278305767,0.2321776584711019,-0.07107498584774596,0.232737385639874,-0.21895841854525797,0.13175159908296322,0.04551180248513675,0.005951296001630113,-0.022658958090636606,-0.008379075509700901,0.0196705547521069,0.0011937540722974469,-0.00287278424087824,-1.9754453604490603e-18
silencing_decline_steepness_hz_per_nA,-0.24540524556265242,-0.06448568558685507,0.04660123886212636,0.15563736939025116,0.027899321201783747,0.0039556279803234515,0.25883354906571576,0.0577973343357243,0.1669240702072959,0.13728344990641883,-0.1625938632023424,0.296618654745296,-0.10131774952168479,-0.04755642409659074,-0.09594747298842299,0.14165177903825318,-0.11613607334955137,0.02308045788203684,0.08521216356184973,0.13623130565369926,0.08939823378567663,-0.2298791317357818,0.016942663744051005,0.05993449059980803,-0.18405841664129477,0.045758512472852425,-0.2583522926942965,0.5721341399381777,0.2707575784160348,-0.11993932235837271,-0.10860454993074366,0.003371069341814322,-0.032101319392991094,0.004831383957527446,7.795536767489095e-17
fi_slope_hz_per_nA,-0.23550243064594037,-0.03625918127006776,0.0643017114577422,0.17080751098273889,0.050508416604065444,0.07940248684201846,0.30871676914349416,0.0721831314930173,0.12098163684806297,0.15754504467403702,-0.2899331346601211,0.2278115510806107,-0.0265489879661259,-0.052586995273695564,-0.16477173949716525,0.11680405683392434,-0.11106520568491936,-0.12746726296345107,0.12244823934115684,-0.008681416114541148,0.2946104318277779,-0.028131926062754678,0.12045518714259737,-0.02135329493176444,-0.01690295278835749,0.13642075623543332,0.3177253558363156,-0.5447527311680184,-0.08440391672241879,0.03425808391805838,0.09466880443127629,-0.016643979204227687,0.018892745783407206,-0.012754669180361791,-2.923738180980456e-17
burstiness_index,0.14067822773052213,0.24316016949105293,0.09290038147250562,-0.1338492935375474,0.09928903528209468,0.056396380374770134,-0.23541691782116175,0.2413574640969514,-0.045453271617503455,-0.002581006900405774,-0.0815203955462036,0.11685966075572751,0.27772125245373164,0.07142232175479361,0.06263488103104072,0.09693355179795722,0.1977348136809056,-0.034418353832527386,0.31920895853883924,0.48438628496391706,0.29204853076879517,-0.18600532775020265,-0.12758410818909663,-0.006230690353704142,0.1430515233747107,-0.3098285504752134,0.020950535800134437,-0.04942232142044152,0.10572696697206749,-0.021662934084497463,-0.005756409235443508,0.07111725687094957,-0.028042857412464952,-0.0045538657272227315,6.580725279995548e-17
fraction_rebound,0.16736181747995624,-0.17138137265381564,0.2215905026866202,-0.15321100804165427,-0.10762123308618778,-0.07291607396343526,-0.17092808238267743,0.12896278763892846,0.3376503015159731,-0.12538130967326538,-0.05809835601840922,-0.10169093894747883,0.051025696297796456,0.16563937234800505,-0.2364778525406193,-0.10566635666200926,0.18415184819998734,-0.14319147892629863,0.05504177314404161,-0.28711321538407436,0.49635202545605717,0.11436433477502035,-0.11095723328824171,0.15222834578378275,-0.03959814613071308,0.27189329837517356,-0.009891165235710484,0.1986910627258723,-0.09870492781521852,0.06419938174744272,-0.027785812292640204,-0.04633769553377297,0.004117717462453067,0.006676353291630745,-1.899765848238439e-17
peak_test_freq_hz,0.17824636644423136,-0.28070200372223697,-0.007294059508998898,-0.007023403943013956,-0.05252397349558673,0.023226231371366764,0.05931012511374921,-0.06675006036406093,0.10379013618764694,0.010002988717913818,-0.04819225582907801,-0.10934577452531473,-0.034620406249390466,-0.02832107937822743,0.016593990430017237,0.0002086507682046229,0.023856033768578498,-0.11256433630241873,0.02625599642916972,0.04819240344901291,-0.02856767294167936,0.040785992303074226,0.02288864004372059,0.05232039811172759,0.013767285664529415,-0.209310178112966,0.04185652063466211,-0.09360768626181479,0.40681345423445053,-0.04875182393777934,-0.0867615981841943,-0.25470911917872285,0.7039374016168951,-0.19575415249312886,-1.3067168206704845e-15
max_rebound_spike_count,0.16466928288126842,-0.28972108904064914,0.018769525514123496,0.0036014116426229905,-0.06905029421217872,0.02698585869005623,0.09057293716219096,-0.09003192988497516,0.11068229890183699,0.023299124990966508,-0.0448901438214008,-0.11222220260824063,-0.03869739737542564,-0.051078589720655085,-0.00864618908870341,-0.032273550092595915,0.04033148063016096,-0.08971255737765409,0.038982927046768236,0.01171290756064297,-0.06653399220362839,0.009398527464881913,-0.036744388880969425,-0.018415143436097722,-0.01136282862011279,-0.06477774534241837,0.08198787516069841,-0.08566581574411934,0.2793014284234282,0.08337585994594361,-0.1422966593221869,0.8178173438755887,-0.12593685115207662,0.09128675782587779,1.5165041714228992e-16
